Analyse enrichment

MAL ID: 2602 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 845 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 274 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 18679 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 3229 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2403 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 237 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 275 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 277 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 157 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 273 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 98 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 1453 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 3226 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 860 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 235 | AniList ID: (hidden) | Enrichment: Success | Relations: 69
MAL ID: 222 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2963 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 32182 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 323 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 3655 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 1722 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 4081 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 272 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 1538 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 31240 | AniList ID: (hidden) | Enrichment: Success | Relations: 9
MAL ID: 23 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 64 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 114 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 166 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 846 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 396 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 355 | AniList ID: (hidden) | Enrichment: Success | Relations: 6
MAL ID: 154 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 79 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 1965 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 75 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 3588 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 1568 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 391 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 513 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 26 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 472 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 3455 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1860 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 27 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 2129 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 1198 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 178 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 3457 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 278 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 183 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 861 | AniList ID: (hidden) | Enrichment: Success | Relations: 7
MAL ID: 28 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
